Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
Surkus,https://www.crunchbase.com/organization/surkus,"Advertising, Brand Marketing, Event Promotion, Marketing, Small and Medium Businesses","Los Angeles, California, United States",Experiential platform giving members exclusive access to paid events and offers in exchange for brand engagement.,"3,750",,2015-01-01,year,"Advertising, Events, Media and Entertainment, Sales and Marketing",1,51-100,3,15000000,USD,15000000,9,Private,,Made Acquisitions,3,2,,2018-05-24,6000000,USD,6000000,Undisclosed,0,2,
Karma Automotive,https://www.crunchbase.com/organization/karma-automotive,"Automotive, Developer Platform, Manufacturing","Irvine, California, United States","Karma Automotive designs, engineers, assembles and markets luxury electric vehicles, all from its Southern California base of operations.","3,780",$50M to $100M,2015-09-30,day,"Manufacturing, Software, Transportation",,501-1000,1,7000000,SEK,758798,1,Private,,,,1,,2016-11-21,7000000,SEK,758798,Venture - Series Unknown,42,53,
"Prodege, LLC",https://www.crunchbase.com/organization/prodege,"Advertising, Digital Media, E-Commerce, Gift Card, Market Research, Mobile, Search Engine, Virtual Currency","El Segundo, California, United States","Prodege, LLC is a leading Internet and media company that operates multiple customer engagement brands.","3,880",$50M to $100M,2005-07-01,day,"Advertising, Commerce and Shopping, Data and Analytics, Design, Financial Services, Internet Services, Media and Entertainment, Mobile, Payments, Sales and Marketing, Software",2,101-250,1,60000000,USD,60000000,1,Private,,Made Acquisitions,2,1,Early Stage Venture,2014-04-01,60000000,USD,60000000,Series A,0,14,
Scanwell Health,https://www.crunchbase.com/organization/scanwell-health,"Health Care, Medical, Medical Device, Personal Health","Los Angeles, California, United States",Scanwell Health is an FDA-cleared urine testing application.,"3,947",Less than $1M,2018-01-01,year,Health Care,1,,3,3620000,USD,3620000,10,Private,,,1,,Seed,2019-11-05,3500000,USD,3500000,Seed,4,1,
Stance,https://www.crunchbase.com/organization/stance,"Fashion, Lifestyle, Wearables","San Clemente, California, United States",Stance is a premium sock brand dedicated to the spirit of individuality. ,"3,970",$10M to $50M,2009-01-01,year,"Clothing and Apparel, Community and Lifestyle, Consumer Electronics, Design, Hardware",5,101-250,5,116000000,USD,116000000,21,Private,,,,2,Late Stage Venture,2016-04-28,30000000,USD,30000000,Series D,1,31,
Boingo Wireless,https://www.crunchbase.com/organization/boingo-wireless,"Software, Telecommunications, Wireless","Los Angeles, California, United States",Boingo Wireless is a company providing mobile internet through Wi-Fi networks globally.,"4,019",$50M to $100M,2001-01-01,year,"Hardware, Mobile, Software",1,501-1000,4,140000000,USD,140000000,8,Public,2011-05-04,Made Acquisitions,2,1,IPO,2014-12-01,50000000,USD,50000000,Post-IPO Debt,10,17,
Chrome River Technologies,https://www.crunchbase.com/organization/chrome-river-technologies,"Accounting, Business Travel, Compliance, Enterprise Applications, Information Technology, SaaS, Software, Web Apps","Los Angeles, California, United States",Chrome River Technologies is a global provider of expense reporting and invoice management.,"4,036",$10M to $50M,2007-01-01,year,"Apps, Financial Services, Information Technology, Professional Services, Software, Travel and Tourism",2,251-500,5,155000000,USD,155000000,8,Private,,"Made Acquisitions, Was Acquired",8,5,M&A,2018-01-04,35000000,USD,35000000,Venture - Series Unknown,0,6,
Measured,https://www.crunchbase.com/organization/measured,"Analytics, SaaS","Santa Monica, California, United States",Measured is an enterprise SaaS platform built to service brands with growth analytics.,"4,040",,2017-02-01,day,"Data and Analytics, Software",2,,1,750000,USD,750000,1,Private,,,,1,,2020-03-18,750000,USD,750000,Debt Financing,,,
Ten-X,https://www.crunchbase.com/organization/ten-x,"Commercial Real Estate, E-Commerce, Information Technology, Marketplace, Online Portals, Real Estate","Irvine, California, United States",Ten-X provides online real estate services.,"4,044",$100M to $500M,1990-01-01,year,"Commerce and Shopping, Information Technology, Internet Services, Real Estate",3,501-1000,3,141750000,USD,141750000,3,Private,,"Made Acquisitions, Was Acquired",4,2,M&A,2014-03-05,50000000,USD,50000000,Venture - Series Unknown,6,1,
Virgin Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,"Industrial Engineering, Transportation, Travel","Los Angeles, California, United States",Hyperloop One reinvents transportation to eliminate barriers of time.,"4,058",$50M to $100M,2014-01-01,year,"Manufacturing, Science and Engineering, Transportation, Travel and Tourism",3,101-250,8,368426737,USD,368426737,35,Private,,,4,4,,2019-05-13,172226737,USD,172226737,Venture - Series Unknown,41,19,
Overnight,https://www.crunchbase.com/organization/overnight,"Apps, Travel","Los Angeles, California, United States","Overnight is a mobile-forward, last-minute booking app that facilitates same-day stays with local hosts","4,064",$1M to $10M,2015-01-01,year,"Apps, Software, Travel and Tourism",3,1-10,2,2650000,USD,2650000,24,Private,,,,2,Seed,2016-02-25,2500000,USD,2500000,Seed,0,1,
TechStyle Fashion Group,https://www.crunchbase.com/organization/justfabulous,"E-Commerce, Fashion, Lifestyle, Retail, Shoes","El Segundo, California, United States", TechStyle is a global membership fashion commerce company focused on reimagining the global fashion business.,"4,082",$100M to $500M,2010-02-01,day,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design",2,1001-5000,7,336000000,USD,336000000,10,Private,,Made Acquisitions,1,3,,2019-11-19,,,,Venture - Series Unknown,0,21,
Appetize,https://www.crunchbase.com/organization/appetize,"Apps, Events, Information Technology, Mobile, Software","Los Angeles, California, United States","Appetize develops point-of-sale and payment systems for entertainment, leisure and education enterprise businesses around the world.","4,107",$1M to $10M,2011-09-01,month,"Apps, Events, Information Technology, Media and Entertainment, Mobile, Software",3,251-500,6,77387354,USD,77387354,6,Private,,,,2,Early Stage Venture,2018-08-09,10000000,USD,10000000,Series B,0,4,
Stone Canyon Industries,https://www.crunchbase.com/organization/stone-canyon-industries,Information Technology,"Santa Monica, California, United States",Stone Canyon specializes in creating value utilizing a patient capital approach.,"4,108",$1B to $10B,2014-01-01,year,Information Technology,1,,1,1800000000,USD,1800000000,,Private,,Made Acquisitions,,,Private Equity,2019-06-18,1800000000,USD,1800000000,Private Equity,0,3,
SRAX,https://www.crunchbase.com/organization/srax,"Big Data, Digital Marketing, Information Technology, Internet","Los Angeles, California, United States",A digital marketing and consumer data management and distribution technology platform company.,"4,135",$1M to $10M,2010-03-01,day,"Data and Analytics, Information Technology, Internet Services, Sales and Marketing",3,251-500,6,27131159,USD,27131159,4,Public,2012-10-01,Made Acquisitions,2,3,IPO,2020-03-05,,,,Post-IPO Debt,1,7,
Tot Squad,https://www.crunchbase.com/organization/totsquad,"Baby, Children, Consumer, Family, Home Services, Marketplace, Parenting, Retail","Sherman Oaks, California, United States","Marketplace connecting new parents to virtual & in person services like car seat installation, baby proofing, lactation and sleep consulting","4,143",,2020-03-20,day,"Commerce and Shopping, Community and Lifestyle, Real Estate",1,1-10,4,3050000,USD,3050000,23,Private,,,,,Seed,2020-01-27,550000,USD,550000,Seed,0,1,
Tradesy,https://www.crunchbase.com/organization/tradesy,"E-Commerce, Fashion, Internet, Retail","Santa Monica, California, United States","Tradesy is marketplace where millions of women come to buy and sell clothing, bags and accessories.","4,164",$1M to $10M,2012-10-24,day,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services",3,101-250,5,74500000,USD,74500000,15,Private,,Made Acquisitions,2,3,,2018-03-25,,,,Venture - Series Unknown,0,3,
Blue,https://www.crunchbase.com/organization/blue-4,"Computer, Software","Riverside, California, United States",Blue is a revolutionary app that allows you to connect with and get to know the people around you using Bluetooth.,"4,188",$1M to $10M,2016-04-01,month,"Consumer Electronics, Hardware, Software",1,,1,400000,USD,400000,,Private,,,,,Seed,2016-10-01,400000,USD,400000,Seed,0,3,
Saucey,https://www.crunchbase.com/organization/saucey,"Content Delivery Network, E-Commerce, Mobile, Wine And Spirits","Los Angeles, California, United States","Saucey is an e-Commerce company which handles the fastest, easiest and most reliable on-demand alcohol delivery service.","4,203",$1M to $10M,2013-10-01,day,"Commerce and Shopping, Content and Publishing, Food and Beverage, Mobile",3,11-50,3,10200000,USD,10200000,12,Private,,,,2,Early Stage Venture,2017-07-12,5400000,USD,5400000,Series A,0,2,
Enevate,https://www.crunchbase.com/organization/enevate,"Battery, Electric Vehicle, Energy, Energy Storage, Manufacturing, Renewable Energy","Irvine, California, United States",Enevate Corporation is a rechargeable energy storage technology company delivering innovative battery capacity in Li-ion ecosystem.,"4,208",$1M to $10M,2005-01-01,year,"Energy, Manufacturing, Sustainability, Transportation",1,51-100,6,111600000,USD,111600000,12,Private,,,1,3,,2019-04-16,,,,Corporate Round,37,14,
Flo Technologies,https://www.crunchbase.com/organization/flo-technologies,"Hardware, Internet of Things, Security, Smart Building, Smart Home, Software, Water","Culver City, California, United States",Flo prevents water damage and unnecessary water waste in homes with its Flo by Moen smart home water monitoring and leak protection system.,"4,270",$1M to $10M,2015-04-01,month,"Consumer Electronics, Hardware, Internet Services, Natural Resources, Privacy and Security, Real Estate, Software",2,11-50,3,39250000,USD,39250000,9,Private,,,6,1,Early Stage Venture,2019-01-03,28000000,USD,28000000,Series B,9,24,
Ordermark,https://www.crunchbase.com/organization/ordermark,"Food and Beverage, SaaS","Playa Vista, California, United States",Ordermark is an online ordering management system for restaurants.,"4,352",Less than $1M,2017-01-10,day,"Food and Beverage, Software",4,101-250,5,30600000,USD,30600000,12,Private,,,1,3,Early Stage Venture,2019-07-29,18000000,USD,18000000,Series B,0,2,
Tastemade,https://www.crunchbase.com/organization/tastemade,"Content, Cooking, Food Delivery, Internet, Media and Entertainment, Video Editing","Santa Monica, California, United States",We created Tastemade with one goal in mind: to connect the world through food.,"4,357",$10M to $50M,2012-01-01,year,"Content and Publishing, Food and Beverage, Internet Services, Media and Entertainment, Transportation, Video",3,251-500,5,115300000,USD,115300000,10,Private,,,1,4,Late Stage Venture,2018-10-17,35000000,USD,35000000,Series E,0,32,
HUM Nutrition,https://www.crunchbase.com/organization/hum-nutrition,"Beauty, Consumer Goods, Health Care, Nutrition, Wellness","Los Angeles, California, United States",HUM is the leading beauty nutrition brand with the mission is to help you look and feel your absolute best all the time.,"4,369",Less than $1M,2012-01-01,year,"Consumer Goods, Food and Beverage, Health Care",2,11-50,2,20000000,USD,20000000,4,Private,,,,2,Early Stage Venture,2019-04-29,15000000,USD,15000000,Series B,0,41,
Ephesoft,https://www.crunchbase.com/organization/ephesoft,"Finance, Financial Services, Software","Laguna Hills, California, United States",Intelligent Document Capture Platform,"4,374",$10M to $50M,2010-01-01,year,"Financial Services, Software",1,101-250,1,15000000,USD,15000000,1,Private,,,5,1,Early Stage Venture,2017-07-11,15000000,USD,15000000,Series A,5,1,
influence.co,https://www.crunchbase.com/organization/influence-co-2,"Brand Marketing, Communities, Marketing","West Hollywood, California, United States","A professional platform that connects the influencer economy through inspiring content, supportive community, and collaborative commerce","4,382",,2016-01-01,day,"Community and Lifestyle, Sales and Marketing",3,11-50,4,3900000,USD,3900000,11,Private,,,,3,Seed,2020-03-11,3050000,USD,3050000,Seed,,,
Live.me,https://www.crunchbase.com/organization/live-me,"Broadcasting, Mobile Apps, Online Games, Video Streaming","West Hollywood, California, United States","Live.me is a live broadcasting app that lets you discover new content, find cool people, build a community, and earn cash rewards.","4,402",,2016-01-01,year,"Apps, Content and Publishing, Gaming, Media and Entertainment, Mobile, Software, Video",1,11-50,2,110000000,USD,110000000,6,Private,,,1,2,Early Stage Venture,2017-11-08,50000000,USD,50000000,Series B,,,
OpenX,https://www.crunchbase.com/organization/openx,"Advertising, Advertising Platforms, Enterprise Software, Internet","Pasadena, California, United States",OpenX provides digital and advertising technologies that optimize a company's advertising revenue.,"4,405",$50M to $100M,2007-01-01,year,"Advertising, Internet Services, Sales and Marketing, Software",2,251-500,7,70511200,USD,70511200,16,Private,,Made Acquisitions,23,4,,2015-06-01,,,,Secondary Market,,,
Happy Returns,https://www.crunchbase.com/organization/happy-returns,"Customer Service, E-Commerce, Retail Technology","Santa Monica, California, United States",Happy Returns provides comprehensive return solutions for leading online and omni-channel retailers and their customers.,"4,415",$1M to $10M,2015-09-01,month,"Commerce and Shopping, Hardware, Software",2,51-100,5,25020000,USD,25020000,8,Private,,,,3,,2019-04-25,11000000,USD,11000000,Venture - Series Unknown,0,3,
Endpoint,https://www.crunchbase.com/organization/endpoint,"Information Services, Information Technology, Real Estate, Real Estate Investment, Software","El Segundo, California, United States","Endpoint is a mobile-first Title and Escrow company, built from the ground up to deliver a radically improved closing experience","4,420",$50M to $100M,2018-01-01,year,"Financial Services, Information Technology, Real Estate, Software",1,51-100,2,37000000,USD,37000000,1,Private,,,,1,,2019-11-12,30000000,USD,30000000,Corporate Round,0,4,
DISQO,https://www.crunchbase.com/organization/disqo,"Analytics, Consumer Research, Information Technology, Market Research","Glendale, California, United States",DISQO provides opinion and behavior data to deliver the most complete view of the consumer.,"4,466",$1M to $10M,2015-01-01,month,"Data and Analytics, Design, Information Technology",3,101-250,2,16500000,USD,16500000,2,Private,,,1,1,Early Stage Venture,2018-08-14,13500000,USD,13500000,Series A,0,1,
Skydance Media,https://www.crunchbase.com/organization/skydance-media,"Film Production, Motion Capture","Santa Monica, California, United States","Skydance Media create elevated, event-level entertainment for global audiences.","4,469",$10M to $50M,2010-01-01,year,"Media and Entertainment, Video",1,101-250,2,275000000,USD,275000000,3,Private,,Made Acquisitions,,2,,2020-02-11,275000000,USD,275000000,Undisclosed,,,
Driivz,https://www.crunchbase.com/organization/driivz,"Automotive, Electric Vehicle, Information Technology, Software","Sherman Oaks, California, United States","Driivz is a powerful, user-friendly, charging management software platform.","4,484",$1M to $10M,2012-01-01,year,"Information Technology, Software, Transportation",1,,1,11000000,USD,11000000,4,Private,,,,3,Late Stage Venture,2020-02-19,11000000,USD,11000000,Series C,,,
Securonix,https://www.crunchbase.com/organization/securonix-inc-,Cyber Security,"Los Angeles, California, United States",Securonix delivers a  security analytics and operations management platform for the modern era of big data and advanced cyber threats.,"4,504",$50M to $100M,2008-01-01,year,"Information Technology, Privacy and Security",2,251-500,1,29000000,USD,29000000,2,Private,,,28,1,Early Stage Venture,2017-09-20,29000000,USD,29000000,Series A,2,0,
