Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
Science 37,https://www.crunchbase.com/organization/science-37,"Los Angeles, California, United States","Clinical Trials, Information Technology, Mobile","4,941",S37 is a mobile technology and clinical trials organization based in Los Angeles.,$10M to $50M,2014-01-01,year,"Health Care, Information Technology, Mobile",2,11-50,3,72500000,USD,72500000,8,Private,,,,4,Late Stage Venture,2017-04-25,35000000,USD,35000000,Series C,0,5
Radiology Partners,https://www.crunchbase.com/organization/radiology-partners,"El Segundo, California, United States","Health Care, Health Diagnostics, Hospital","4,964",Radiology Partners is a healthcare service company focused on transforming how services are provided by radiologists.,$1B to $10B,2012-01-01,year,Health Care,1,251-500,4,1134476680,USD,1134476680,3,Private,,Made Acquisitions,,3,Private Equity,2019-07-19,700000000,USD,700000000,Private Equity,1,2
Within (VR/AR),https://www.crunchbase.com/organization/vrse,"Los Angeles, California, United States","Apps, Augmented Reality, Software, Virtual Reality","4,983",Within is a virtual reality and augmented reality media and technology company.,$1M to $10M,2014-12-01,month,"Apps, Hardware, Software",2,51-100,3,52600000,USD,52600000,18,Private,,,,4,Early Stage Venture,2017-07-26,40000000,USD,40000000,Series B,0,23
UNest,https://www.crunchbase.com/organization/u-nest,"North Hollywood, California, United States","Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","5,042",U-Nest is an intuitive and easy-to-use mobile app that in minutes establishes and manages a tax-free college savings plan for your child.,$1M to $10M,2018-03-01,month,"Apps, Financial Services, Mobile, Software",1,1-10,3,3800000,USD,3800000,9,Private,,,,1,Seed,2020-01-15,1500000,USD,1500000,Seed,0,2
Bridg,https://www.crunchbase.com/organization/bridg,"Los Angeles, California, United States","Advertising Platforms, Business Intelligence, Digital Marketing, Enterprise Software, Marketing Automation, Predictive Analytics","5,087","80% of your guests are invisible to you—identify, analyze and reach them with Bridg.",$1M to $10M,2012-01-01,year,"Advertising, Artificial Intelligence, Data and Analytics, Sales and Marketing, Software",1,11-50,4,11000000,USD,11000000,10,Private,,Made Acquisitions,2,2,Early Stage Venture,2017-08-23,11000000,USD,11000000,Series B,,
Papaya Payments,https://www.crunchbase.com/organization/papaya-payments,"Los Angeles, California, United States","Banking, Computer, Financial Services, FinTech, Information Technology, Payments, Retail, Shopping","5,100",Papaya is a mobile app that makes it easy to pay any bill with your phone in seconds. ,,2016-04-18,day,"Commerce and Shopping, Consumer Electronics, Financial Services, Hardware, Information Technology, Lending and Investments, Payments",2,1-10,3,4226260,USD,4226260,4,Private,,,,1,,2018-03-14,4226260,USD,4226260,Venture - Series Unknown,0,1
100 Thieves,https://www.crunchbase.com/organization/100-thieves,"Los Angeles, California, United States","Digital Media, eSports, Gaming, Online Games, PC Games","5,101","100 Thieves is an American e-sports, lifestyle and apparel brand.",$10M to $50M,2016-01-01,year,"Gaming, Media and Entertainment, Sports",1,51-100,3,60000000,USD,60000000,14,Private,,,,3,Early Stage Venture,2019-07-16,35000000,USD,35000000,Series B,0,5
INTELITY,https://www.crunchbase.com/organization/intelity,"Los Angeles, California, United States","Cloud Management, Enterprise Software, Hospitality, Mobile, PaaS, SaaS, Software, Travel","5,104",Enterprise technology platform that bridges the connection between service industry workforces and their customers.,$1M to $10M,2008-01-01,year,"Information Technology, Internet Services, Mobile, Software, Travel and Tourism",4,51-100,8,63000000,USD,63000000,11,Private,,Made Acquisitions,,3,,2019-01-28,44000000,USD,44000000,Undisclosed,3,2
MomentFeed,https://www.crunchbase.com/organization/momentfeed,"Santa Monica, California, United States","Advertising, Analytics, Digital Media, Local, Local Business, Mobile Advertising, SaaS, Social Media Marketing","5,110",MomentFeed's marketing & customer experience management platform enables multi-location brands to influence consumers on mobile.,$10M to $50M,2010-04-01,day,"Advertising, Data and Analytics, Media and Entertainment, Sales and Marketing, Software",1,101-250,5,27537305,USD,27537305,17,Private,,,5,3,Late Stage Venture,2017-02-24,16300000,USD,16300000,Series C,0,5
MarketShare,https://www.crunchbase.com/organization/marketshare,"Los Angeles, California, United States","Analytics, Big Data, Enterprise Software, Marketing, SaaS, Software","5,117",MarketShare is the advanced marketing analytics technology company.,Less than $1M,2005-01-01,year,"Data and Analytics, Sales and Marketing, Software",2,501-1000,6,96000000,USD,96000000,3,Private,,"Made Acquisitions, Was Acquired",,2,M&A,2014-12-19,10000000,USD,10000000,Venture - Series Unknown,8,3
TeleSign,https://www.crunchbase.com/organization/telesign-corporation,"Marina Del Rey, California, United States","Identity Management, Messaging, Mobile, PaaS, Security","5,136",TeleSign is the leading provider of single-platform global communications and trusted identity data solutions. ,$10M to $50M,2005-01-01,year,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software",3,251-500,3,78000000,USD,78000000,4,Private,,"Made Acquisitions, Was Acquired",19,3,M&A,2014-07-03,9000000,USD,9000000,Series B,21,6
Omaze,https://www.crunchbase.com/organization/omaze,"Culver City, California, United States",Finance,"5,142",Omaze is an online fundraising platform.,$1M to $10M,2012-01-01,year,Financial Services,2,51-100,5,12000000,USD,12000000,18,Private,,,1,1,Early Stage Venture,2019-03-19,,,,Series B,0,10
Tryft,https://www.crunchbase.com/organization/tryft,"Malibu, California, United States","CleanTech, E-Commerce, Marketing, Sustainability","5,144",Tryft is a marketing company that finds deals and  saves money.,,2020-01-01,year,"Commerce and Shopping, Sales and Marketing, Sustainability",2,11-50,5,22070000,USD,22070000,4,Private,,Made Acquisitions,,2,Seed,2020-01-13,785000,USD,785000,Angel,,
Veritone,https://www.crunchbase.com/organization/veritone,"Costa Mesa, California, United States","Artificial Intelligence, Computer Vision, Facial Recognition, Geospatial, Image Recognition, Information Technology, Natural Language Processing, Search Engine, Speech Recognition, Visual Search","5,151",Veritone has created a future-proof AI platform that comprehends and transforms multiple forms of data to create actionable intelligence.,$10M to $50M,2014-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Navigation and Mapping, Science and Engineering, Software",4,101-250,2,65000000,USD,65000000,3,Public,2017-05-12,Made Acquisitions,11,1,IPO,2016-08-23,50000000,USD,50000000,Undisclosed,9,27
Cargomatic,https://www.crunchbase.com/organization/cargomatic,"Venice, California, United States","Logistics, Public Transportation, Shipping, Transportation","5,153",Cargomatic is a platform for connecting local shippers and local truckers in real-time.,$10M to $50M,2013-01-01,year,Transportation,3,51-100,8,55826990,USD,55826990,28,Private,,,,5,Early Stage Venture,2018-08-15,35000000,USD,35000000,Series B,0,10
Stem Disintermedia,https://www.crunchbase.com/organization/stemdisintermedia,"Los Angeles, California, United States","Accounting, FinTech, Music, Video","5,161","Stem Disintermedia helps creators, artists, and musicians to collect digital revenue and enables them to track and share their earnings.",,2015-02-13,day,"Financial Services, Media and Entertainment, Music and Audio, Professional Services, Video",3,11-50,5,12500000,USD,12500000,27,Private,,,,3,Early Stage Venture,2018-11-26,,,,Convertible Note,0,1
Sonendo,https://www.crunchbase.com/organization/sonendo,"Laguna Hills, California, United States","Biotechnology, Health Care, Medical","5,171",Sonendo is a developing innovative and disruptive technologies to transform endodontic therapy.,$10M to $50M,2006-06-01,day,"Biotechnology, Health Care, Science and Engineering",1,51-100,13,271749879,USD,271749879,17,Private,,Made Acquisitions,,5,Private Equity,2020-01-06,85000000,USD,85000000,Private Equity,41,47
AvantStay,https://www.crunchbase.com/organization/avantstay,"Los Angeles, California, United States","Hospitality, Tourism, Travel","5,176",AvantStay is a technology-first hospitality brand for group travel.,$10M to $50M,2016-09-01,day,Travel and Tourism,2,51-100,3,26000000,USD,26000000,9,Private,,,,2,Early Stage Venture,2019-09-19,20000000,USD,20000000,Series A,,
SteelHouse,https://www.crunchbase.com/organization/steelhouse,"Culver City, California, United States","Advertising, Real Time","5,187","SteelHouse provides advertising software for direct marketers, agencies, and brands of all sizes.",$10M to $50M,2009-05-01,day,"Advertising, Sales and Marketing",1,101-250,7,64800000,USD,64800000,10,Private,,,7,2,,2017-05-19,,,,Convertible Note,0,9
Flipagram,https://www.crunchbase.com/organization/flipagram,"Los Angeles, California, United States","Internet, Music, Photography, Video","5,206","Flipagram allows users to create and share compelling, visual stories with the music they love.",$10M to $50M,2008-10-16,day,"Content and Publishing, Internet Services, Media and Entertainment, Music and Audio, Video",4,51-100,1,70000000,USD,70000000,3,Private,,Was Acquired,1,1,M&A,2015-07-16,70000000,USD,70000000,Series B,0,4
Sunbit,https://www.crunchbase.com/organization/sunbit,"Los Angeles, California, United States","Finance, FinTech, Retail","5,213","At Sunbit, we believe that people deserve to get the most out of their hard-earned money, every time.",Less than $1M,2016-01-01,year,"Commerce and Shopping, Financial Services",4,51-100,4,53970000,USD,53970000,11,Private,,,,3,Early Stage Venture,2019-06-12,26000000,USD,26000000,Series B,0,8
Jinx,https://www.crunchbase.com/organization/jinx-d846,"Los Angeles, California, United States","Consumer Goods, Nutrition, Wellness","5,227",Jinx is a dog wellness brand.,,2019-01-01,year,"Consumer Goods, Food and Beverage, Health Care",2,1-10,1,5600000,USD,5600000,10,Private,,,,,Seed,2019-11-19,5600000,USD,5600000,Seed,0,19
The Mighty,https://www.crunchbase.com/organization/the-mighty,"Los Angeles, California, United States","Communities, Health Care, Social Network","5,322",The Mighty is a digital health community created to empower and connect people facing health challenges and disabilities.,Less than $1M,2014-05-01,month,"Community and Lifestyle, Health Care, Internet Services",1,11-50,4,22700000,USD,22700000,11,Private,,,,2,Early Stage Venture,2019-07-26,12000000,USD,12000000,Series B,0,1
Crossover Health,https://www.crunchbase.com/organization/crossover-health-management-services,"Aliso Viejo, California, United States","Health Care, Health Diagnostics, Hospital","5,398",Crossover Health designs and delivers membership based primary health and secondary care services to self insured employers.,$10M to $50M,2010-01-01,year,Health Care,1,101-250,3,113487877,USD,113487877,2,Private,,Made Acquisitions,,1,,2016-12-07,92000000,USD,92000000,Venture - Series Unknown,,
Provivi,https://www.crunchbase.com/organization/provivi,"Santa Monica, California, United States","Agriculture, Biotechnology, Chemical","5,412","Provivi develops biopesticides for agriculture, commercial, household, and public health pest management.",$1M to $10M,2013-01-01,year,"Agriculture and Farming, Biotechnology, Science and Engineering",3,11-50,4,114471104,USD,114471104,8,Private,,,,4,Late Stage Venture,2019-10-15,85000000,USD,85000000,Series C,17,17
AppOnboard,https://www.crunchbase.com/organization/app-onboard-inc,"Los Angeles, California, United States","App Marketing, Data Visualization, Developer APIs, Developer Platform, Developer Tools, Gaming, Mobile Advertising, Mobile Apps, Mobile Devices, Software","5,433","Dream Big, Build Fast. No code development software for anyone.",$1M to $10M,2016-01-01,year,"Advertising, Apps, Consumer Electronics, Data and Analytics, Design, Gaming, Hardware, Information Technology, Mobile, Sales and Marketing, Software",2,11-50,4,35000000,USD,35000000,18,Private,,Made Acquisitions,1,4,Early Stage Venture,2018-12-11,15000000,USD,15000000,Series B,3,2
HelloTech,https://www.crunchbase.com/organization/hellotech,"Los Angeles, California, United States","Consumer, Sales Automation, TV","5,448",Changing tech support and the way people buy new technology,$50M to $100M,2014-12-15,day,"Information Technology, Media and Entertainment, Sales and Marketing, Software, Video",3,11-50,6,42000361,USD,42000361,18,Private,,Made Acquisitions,1,1,,2019-01-25,20000361,USD,20000361,Venture - Series Unknown,0,2
EdgeCast Networks,https://www.crunchbase.com/organization/edgecast,"Santa Monica, California, United States","Content, Content Delivery Network, E-Commerce, Video Streaming","5,453",EdgeCast is a content delivery network (CDN) that helps companies accelerate and deliver static content to their users around the world.,$50M to $100M,2006-08-01,day,"Commerce and Shopping, Content and Publishing, Media and Entertainment, Video",5,251-500,5,74000000,USD,74000000,6,Private,,Was Acquired,1,3,M&A,2013-07-18,54000000,USD,54000000,Series D,,
