Full Description,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Employees,Number of Founders,Industry Groups,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,Number of Events
Social Bluebook creates tools that empower creators and bring true transparency to the influencer marketplace.,Social Bluebook,https://www.crunchbase.com/organization/social-bluebook,"Social Media, Social Media Advertising, Social Media Marketing","Los Angeles, California, United States",Social Bluebook creates tools that empower creators and bring true transparency to the influencer marketplace.,2,,96374,USD,96374,"20,502",$1M to $10M,Active,2015-05-01,month,,,For Profit,https://socialbluebook.com/,11-50,2,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",StartEngine,,1,,,Private,
"Azubu is a global entertainment network focused on eSports, providing unparalleled gaming, viewing, and interactive experiences for both broadcasters and the community. Coming together to watch the biggest names and tournaments, users across the globe engage in the highest definition eSports content. Created for and driven by the community, Azubu delivers a “lean-in” experience for viewers to interact with their favorite games, players, and organizations, while empowering broadcasters with unique toolsets, superior streaming technology, and more. Azubu was founded in 2011, and is headquartered in Los Angeles with offices in Seoul and Vancouver. For more information, visit www.azubu.tv.",Azubu,https://www.crunchbase.com/organization/azubu,"Digital Entertainment, eSports, News, Video Streaming","Sherman Oaks, California, United States","Azubu is a global entertainment network focused on eSports, providing unparalleled gaming, viewing, and interactive experiences .",2,,95114142,USD,95114142,"20,520",$10M to $50M,Active,2011-01-01,year,,,For Profit,http://www.azubu.tv,51-100,,"Content and Publishing, Media and Entertainment, Sports, Video","Sallfort Privatbank AG, Sapinda Group",1,2,1,Made Acquisitions,Private,1
ImaginAb is a biotechnology company focused on developing a new class of highly targeted diagnostic imaging agents based on engineered antibody fragments. ImaginAb's platform technology enables the rapid engineering of antibodies into fragments that retain the parental antibody but are immunologically passive and kinetically-optimized for clinical imaging. This combination of superior specificity and kinetics enables ImaginAb to generate agents that can address the unmet needs in diagnosis and patient selection for therapeutics. ,ImaginAb,https://www.crunchbase.com/organization/imaginab,"Biotechnology, Clinical Trials, Health Diagnostics","Inglewood, California, United States",ImaginAb clinically manages cancer and autoimmune diseases via molecular imaging by re-engineering antibodies into small proteins.,4,,46841245,USD,46841245,"20,522",$1M to $10M,Active,2007-01-01,year,,,For Profit,http://imaginab.com,11-50,3,"Biotechnology, Health Care, Science and Engineering","Novartis Venture Fund, Momentum Bioscience, Nextech Invest, Adage Capital Management, Merieux Developpement",3,8,,,Private,
"Zevia LLC produces zero-calorie diet sodas. It offers sodas in various flavors, such as black cherry, caffeine free cola, cherry cola, cola, cream soda, Dr. Zevia, ginger ale, ginger root beer, grape, grapefruit citrus, lemon lime twist, lime cola, mountain zevia, orange, and strawberry. The company provides its products through retailers, including natural food stores, health food stores, grocers, and e-retailers in the United States and Canada. Zevia LLC was founded in 2007 and is based in Culver City, California.",Zevia,https://www.crunchbase.com/organization/zevia,"Food and Beverage, Grocery, Retail","Culver City, California, United States","Zevia LLC produces zero-calorie diet sodas. It offers sodas in various flavors, such as black cherry, caffeine free cola, cherry cola.",3,,24010000,USD,24010000,"20,532",$10M to $50M,Active,2007-01-01,year,,,,http://zevia.com,11-50,1,"Commerce and Shopping, Food and Beverage",,,,,,Private,
"Three Day Rule (TDR) helps singles outsource their love lives to make dating easier and less time-consuming. TDR's matchmakers leverage technology to curate the best matches for their clients. TDR offers personalized matchmaking, date coaching, and events to help singles along their dating journeys. TDR has established operations in 7 major U.S. cities (Los Angeles, San Francisco, New York, Boston, Washington DC, Chicago, and Philadelphia) and is the only matchmaking company partnering with online dating sites, including Match & OkCupid.",Three Day Rule,https://www.crunchbase.com/organization/three-day-rule,"Dating, Internet, Lifestyle, Software","Los Angeles, California, United States","A leading tech-enabled, personalized matchmaking company. Curated matches. Zero Work. Expert Advice.",4,Early Stage Venture,2795000,USD,2795000,"20,578",,Active,2013-01-01,year,,,For Profit,http://threedayrule.com,11-50,1,"Community and Lifestyle, Internet Services, Software","Match, Blossom Street Ventures, Joseph N. Sanberg",1,3,,,Private,
"VYRL is building the global experiential commerce network.  One piece of that system is called Carro. By onboarding hundreds of new brands every month, Carro helps each brand achieve the maximum possible reach, and gain the maximum amount of attention by working with their most influential customers & fans.  www.GetCarro.com",VYRL,https://www.crunchbase.com/organization/vyrl,"Big Data, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing","Irvine, California, United States",VYRL is building the biggest E-commerce Network in the world.,3,Early Stage Venture,3065000,USD,3065000,"20,594",,Active,2015-10-15,day,,,For Profit,https://vyrl.co,11-50,2,"Commerce and Shopping, Data and Analytics, Sales and Marketing, Software","Tech Coast Angels, Alpha Edison, Corazon Capital, David Perry, Cove Fund",2,7,,,Private,
,Quantgene,https://www.crunchbase.com/organization/quantgene,"Bioinformatics, Machine Learning","Santa Monica, California, United States",Quantgene is a Bioinformatics using machine learning company.,1,Early Stage Venture,6129143,USD,6129143,"20,598",,Active,2016-01-01,year,,,,http://www.quantgene.com/,11-50,,"Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",,,,,,Private,
"YouMail provides enhanced telecommunications services, where those services are moved out of the network and into the cloud, made social, optimized for smartphones, and sold direct to consumers using a freemium model. YouMail's completely free flagship Visual Voicemail Plus application offers a true multi-platform, unified and social voicemail experience for its users on BlackBerry, Android, iPhone, WebOS, Windows Phone 7 and Windows 6.5 platforms.  As of 11/1/2011, it had been downloaded over 3 million times and had well over 2 million registered users, all acquired organically.",YouMail,https://www.crunchbase.com/organization/youmail,"Collaboration, Communications Infrastructure, Email, Enterprise Software, Messaging, Telecommunications","Irvine, California, United States","YouMail has developed a feature-rich, easy to use visual voicemail app, for your phone, tablet, or computer.",9,Early Stage Venture,19925000,USD,19925000,"20,648",$10M to $50M,Active,2007-01-01,year,,,For Profit,http://www.youmail.com,1-10,3,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Tech Coast Angels, Tuesday Capital, Wavemaker Partners, VantagePoint Capital Partners, Eric Ver Ploeg",3,5,,,Private,
"ProSky is an HR SaaS platform that gives companies a full-stack solution to hiring and organization talent development. Companies can innovatively evaluate candidates for hire and develop employees through succession pathways, so they can recruit, hire, retain, train and grow the best diverse talent & culture fit.",ProSky,https://www.crunchbase.com/organization/prosky-inc-,"Corporate Training, Employment, Human Resources, Recruiting, SaaS","Irvine, California, United States",Innovatively evaluate candidates for hire and develop employees through succession pathways on one comprehensive platform.,3,Seed,2725000,USD,2725000,"20,664",,Active,2015-01-01,year,,,For Profit,http://www.prosky.co/,11-50,3,"Education, Professional Services, Software","500 Startups, Social Starts, Kapor Capital, Harlem Capital Partners, Lightbank",1,12,,,Private,2
"Branded Online, Inc. (BOL) is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands. BOL helps brands reach their potential by delivering scalable growth, effective marketing, and operational efficiencies. By offering world-class technology and solutions, our clients gain the control, scalability, growth, and cost savings they need to compete with the largest retailers on earth. Since 1999 Branded Online has become a trusted partner to some of the world’s leading fashion brands. The company specializes in providing the technology, infrastructure, and operational services needed to continuously drive commerce, improve customer engagement, and better address the complexities inherent in high-performing omni-channel commerce operations.",Branded Online,https://www.crunchbase.com/organization/branded-online,"E-Commerce, Internet, Online Portals","Costa Mesa, California, United States","Branded Online is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands.",2,,8332996,USD,8332996,"20,682",$1M to $10M,Active,2009-01-01,year,,,,http://www.brandedonline.com/,101-250,2,"Commerce and Shopping, Internet Services","Iron Gate Capital (IGC), Hillcrest Venture Partners, A.M.E. Ventures",,3,,,Private,
