"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"59",59,"Boulevard","https://www.crunchbase.com/organization/boulevard-3","Customer Service, E-Commerce, Internet, Management Consulting","West Hollywood, California, United States","The business management platform powering the next generation of premium salons and spas.",1427,"$1M to $10M","2016-02-18","day","Commerce and Shopping, Internet Services, Professional Services","1","51-100","2","1.1e+07","USD","1.1e+07","5","Private","NA","NA","NA","2","Early Stage Venture","2019-11-04","1.1e+07","USD","11000000","Series A","0","1","NA",1
"60",60,"Penske Media Corporation","https://www.crunchbase.com/organization/penske-media-corporation","Advertising, Broadcasting, Digital Media, Journalism, News, Publishing","Los Angeles, California, United States","PMC is a Leading Digital Media and Publishing Company",1432,"$10M to $50M","2003-01-01","year","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video","1","501-1000","1","2e+08","USD","2e+08","NA","Private","NA","Made Acquisitions","NA","NA","NA","2018-02-28","2e+08","USD","200000000","Corporate Round","0","68","NA",1
"61",61,"Pray.com","https://www.crunchbase.com/organization/pray","Communities, Private Social Networking, Religion","Santa Monica, California, United States","Pray.com is a social network for faith organizations and non-profits.",1442,"$1M to $10M","2016-01-01","year","Community and Lifestyle","4","11-50","2","1.6e+07","USD","1.6e+07","7","Private","NA","NA","NA","2","Early Stage Venture","2018-03-14","1.4e+07","USD","14000000","Series A","0","1","NA",1
"62",62,"Embrace","https://www.crunchbase.com/organization/embrace-io","Developer Tools, Enterprise Software, Mobile Apps","Culver City, California, United States","Embrace is the only monitoring and debugging platform built exclusively for mobile apps",1454,"$1M to $10M","2016-01-01","year","Apps, Mobile, Software","3","11-50","8","7650000","USD","7650000","35","Private","NA","NA","NA","3","Seed","2020-03-01","NA","NA","NA","Seed","4","1","NA",1
"63",63,"Beachbody","https://www.crunchbase.com/organization/beachbody","Fitness, Health Care, Wellness","Santa Monica, California, United States","Beachbody has developed and offering an in-home fitness and weight loss solutions.",1470,"$100M to $500M","1998-01-01","year","Health Care, Sports","2","501-1000","1","8500000","USD","8500000","NA","Private","NA","Made Acquisitions","NA","NA","NA","2019-07-29","8500000","USD","8500000","Venture - Series Unknown","6","491","NA",1
"64",64,"Whisper","https://www.crunchbase.com/organization/whisper","Media and Entertainment, Mobile","Venice, California, United States","Whisper is an AI powered media company. Each month, over 250 million people across the web consume Whisper content.",1494,"$1M to $10M","2012-01-01","year","Media and Entertainment, Mobile","2","51-100","5","6.1e+07","USD","6.1e+07","17","Private","NA","Was Acquired","1","3","M&A","2014-06-09","NA","NA","NA","Secondary Market","0","1","NA",1
"65",65,"Reformation","https://www.crunchbase.com/organization/reformation","E-Commerce, Fashion, Manufacturing","Los Angeles, California, United States","Reformation is a revolution in fashion where design, value, and sustainability coexist.",1497,"$100M to $500M","2009-01-01","year","Clothing and Apparel, Commerce and Shopping, Design, Manufacturing","1","101-250","2","3.7e+07","USD","3.7e+07","8","Private","NA","Was Acquired","NA","2","M&A","2017-12-14","2.5e+07","USD","25000000","Series B","0","10","NA",1
"66",66,"Jam City","https://www.crunchbase.com/organization/jam-city","Digital Entertainment, Gaming, Mobile, Mobile Apps, Online Games, Social Media","Culver City, California, United States","Jam City is a mobile entertainment company, connecting the world through technology, creativity, and play.",1515,"$100M to $500M","2010-01-01","year","Apps, Gaming, Internet Services, Media and Entertainment, Mobile, Software","3","251-500","4","3.02e+08","USD","3.02e+08","7","Private","NA","Made Acquisitions","6","4","NA","2019-01-16","1.45e+08","USD","145000000","Undisclosed","0","48","NA",1
"67",67,"Happy Money","https://www.crunchbase.com/organization/happymoney","Finance, Financial Services, FinTech, Payments, Personal Finance","Costa Mesa, California, United States","Financial Tools and Services for Human Happiness",1568,"$10M to $50M","2009-01-01","day","Financial Services, Payments","2","251-500","6","141561341","USD","141561341","7","Private","NA","NA","1","6","Late Stage Venture","2019-09-05","7e+07","USD","70000000","Series D","2","30","NA",1
"68",68,"Cylance","https://www.crunchbase.com/organization/cylance","Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States","Cylance is a global provider of cybersecurity products and services using A.I. and machine learning to solve security problems.",1571,"$100M to $500M","2012-07-04","day","Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","2","501-1000","5","2.97e+08","USD","2.97e+08","13","Private","NA","Made Acquisitions, Was Acquired","48","5","M&A","2018-06-20","1.2e+08","USD","120000000","Series E","79","48","NA",1
"69",69,"Signal Sciences","https://www.crunchbase.com/organization/signal-sciences","Cyber Security, Information Technology, SaaS, Security, Software, Web Apps","Culver City, California, United States","Signal Sciences is a software as a service platform providing security monitoring and defense for your web application.",1573,"$1M to $10M","2014-03-10","day","Apps, Information Technology, Privacy and Security, Software","3","101-250","4","61700000","USD","61700000","8","Private","NA","NA","38","5","Late Stage Venture","2019-02-05","3.5e+07","USD","35000000","Series C","2","6","NA",1
"70",70,"Savage X Fenty","https://www.crunchbase.com/organization/savage-x-fenty","E-Commerce, Fashion, Retail","El Segundo, California, United States","Savage X Fenty is a lingerie brand company that offers a variety of underwear ranging from everyday basics to more provocative pieces.",1583,"$100M to $500M","2017-01-01","year","Clothing and Apparel, Commerce and Shopping, Design","3","NA","1","7e+07","USD","7e+07","2","Private","NA","NA","NA","2","NA","2019-08-27","7e+07","USD","70000000","Venture - Series Unknown","NA","NA","NA",1
"71",71,"PeerStreet","https://www.crunchbase.com/organization/peerstreet","Crowdfunding, FinTech, Real Estate, Real Estate Investment","El Segundo, California, United States","PeerStreet is a crowdfunding platform that gives investors easy access to high-yielding loans that are collateralized with real estate.",1591,"NA","2013-01-01","year","Financial Services, Real Estate","3","101-250","6","110600000","USD","110600000","19","Private","NA","NA","3","4","Late Stage Venture","2019-10-28","6e+07","USD","60000000","Series C","0","1","NA",1
"72",72,"UpKeep Maintenance Management","https://www.crunchbase.com/organization/upkeep-maintenance-management","B2B, Internet, Mobile, SaaS, Software","Los Angeles, California, United States","UpKeep provides maintenance management solutions for facility maintenance teams in the United States.",1605,"$1M to $10M","2014-06-22","day","Internet Services, Mobile, Software","1","101-250","4","12820000","USD","12820000","16","Private","NA","NA","1","2","Early Stage Venture","2018-03-20","1e+07","USD","10000000","Series A","0","4","NA",1
"73",73,"Miso Robotics","https://www.crunchbase.com/organization/miso-robotics","Artificial Intelligence, Consumer Electronics, Food and Beverage, Industrial Automation, Robotics, Smart Home","Pasadena, California, United States","Miso Robotics develops and manufactures artificial intelligence-driven robots that assist chefs to make food at restaurants.",1661,"$1M to $10M","2016-07-01","month","Artificial Intelligence, Consumer Electronics, Data and Analytics, Food and Beverage, Hardware, Manufacturing, Real Estate, Science and Engineering, Software","3","1-10","2","13100000","USD","13100000","2","Private","NA","NA","NA","NA","Early Stage Venture","2018-02-15","1e+07","USD","10000000","Series B","6","7","NA",1
"74",74,"Soothe","https://www.crunchbase.com/organization/soothe","Health Care, Personal Health, Therapeutics, Wellness","West Hollywood, California, United States","Soothe is the world's leading on-demand wellness platform.",1672,"$1M to $10M","2013-03-01","day","Health Care","2","51-100","5","78300000","USD","78300000","12","Private","NA","Made Acquisitions","NA","2","Late Stage Venture","2018-05-02","3.1e+07","USD","31000000","Series C","0","6","NA",1
"75",75,"FabFitFun","https://www.crunchbase.com/organization/fabfitfun","E-Commerce, Fashion, Subscription Service, Wellness","Los Angeles, California, United States","FabFitFun offers subscription services that allow its members to discover brands and products.",1673,"$100M to $500M","2010-01-01","year","Clothing and Apparel, Commerce and Shopping, Design, Health Care","4","51-100","2","83500000","USD","83500000","19","Private","NA","Was Acquired","NA","2","M&A","2019-01-30","8e+07","USD","80000000","Series A","0","37","NA",1
"76",76,"GoodRx","https://www.crunchbase.com/organization/goodrx","Health Care, Medical, Pharmaceutical","Santa Monica, California, United States","GoodRx believes prescription drugs should be affordable and convenient for everyone.",1679,"$1M to $10M","2011-01-01","year","Health Care","3","101-250","3","1500000","USD","1500000","10","Private","NA","Made Acquisitions","1","1","Private Equity","2018-08-06","NA","NA","NA","Private Equity","4","9","NA",1
"77",77,"PatientPop","https://www.crunchbase.com/organization/patientpop","Digital Marketing, Health Care, Internet, SaaS","Santa Monica, California, United States","PatientPop is the only complete practice growth solution that empowers healthcare providers to thrive in the digital age.",1794,"$1M to $10M","2014-01-01","year","Health Care, Internet Services, Sales and Marketing, Software","2","251-500","4","7.5e+07","USD","7.5e+07","4","Private","NA","NA","NA","3","Early Stage Venture","2018-10-31","2.5e+07","USD","25000000","Series B","0","2","NA",1
"78",78,"Ritual","https://www.crunchbase.com/organization/ritual-2","Consumer Goods, E-Commerce, Health Care, Medical, Subscription Service, Wellness","Culver City, California, United States","Ritual is a health and technology company that has reinvented the vitamin for a healthier future.",1800,"$1M to $10M","2015-06-01","month","Commerce and Shopping, Consumer Goods, Health Care","1","11-50","5","40500000","USD","40500000","15","Private","NA","NA","2","3","Early Stage Venture","2019-02-05","2.5e+07","USD","25000000","Series B","1","9","NA",1
"79",79,"Viking Cruises","https://www.crunchbase.com/organization/viking-cruises","Leisure, Travel","Woodland Hills, California, United States","Viking Cruises is a provider of worldwide river and ocean cruises.",1859,"$50M to $100M","1997-01-01","year","Community and Lifestyle, Travel and Tourism","1","1001-5000","1","5e+08","USD","5e+08","2","Private","NA","NA","NA","2","Private Equity","2016-09-12","5e+08","USD","500000000","Private Equity","NA","NA","NA",1
"80",80,"The Boring Company","https://www.crunchbase.com/organization/the-boring-company","Infrastructure, Logistics, Public Transportation, Transportation","Los Angeles, California, United States","The Boring Company aims to dig tunnels efficiently to facilitate an underground transportation network.",1871,"NA","2016-12-17","day","Transportation","1","51-100","2","2.33e+08","USD","2.33e+08","6","Private","NA","NA","NA","NA","NA","2019-07-25","1.2e+08","USD","120000000","Venture - Series Unknown","0","6","NA",1
"81",81,"Tala","https://www.crunchbase.com/organization/inventure","Big Data, Credit, Financial Services, Information Technology, Mobile, Software","Santa Monica, California, United States","Tala is a mobile technology and data science company that is oriented around financial services in emerging markets.",1876,"$50M to $100M","2011-10-01","day","Data and Analytics, Financial Services, Information Technology, Lending and Investments, Mobile, Software","1","501-1000","9","204439706","USD","204439706","23","Private","NA","NA","2","5","Late Stage Venture","2019-08-21","1.1e+08","USD","110000000","Series D","NA","NA","NA",1
